============================================================
[TALLY] Starting: fetch_tally_delegates
[TALLY] API: https://api.tally.xyz/query
[TALLY] Organization ID: 2206072050458560426
[TALLY] WARNING: With rate limiting, expect 2-6 HOURS runtime (~38k delegates)
[TALLY] Page 710: 14200 delegates fetched (9/sec, rate_retries=0, ~2622s remaining)
[TALLY] Page 715: 14300 delegates fetched (9/sec, rate_retries=0, ~2618s remaining)
[TALLY] Page 720: 14400 delegates fetched (9/sec, rate_retries=0, ~2610s remaining)
[TALLY] Page 725: 14500 delegates fetched (9/sec, rate_retries=0, ~2597s remaining)
[TALLY] Page 730: 14600 delegates fetched (9/sec, rate_retries=0, ~2584s remaining)
[TALLY] Page 735: 14700 delegates fetched (9/sec, rate_retries=0, ~2571s remaining)
[TALLY] Page 740: 14800 delegates fetched (9/sec, rate_retries=0, ~2564s remaining)
[TALLY] Page 745: 14900 delegates fetched (9/sec, rate_retries=0, ~2551s remaining)
[TALLY] Page 750: 15000 delegates fetched (9/sec, rate_retries=0, ~2538s remaining)
[TALLY] Page 755: 15100 delegates fetched (9/sec, rate_retries=0, ~2531s remaining)
[TALLY] Page 760: 15200 delegates fetched (9/sec, rate_retries=0, ~2518s remaining)
[TALLY] Page 765: 15300 delegates fetched (9/sec, rate_retries=0, ~2505s remaining)
[TALLY] Page 770: 15400 delegates fetched (9/sec, rate_retries=0, ~2498s remaining)
[TALLY] Page 775: 15500 delegates fetched (9/sec, rate_retries=0, ~2485s remaining)
[TALLY] Page 780: 15600 delegates fetched (9/sec, rate_retries=0, ~2472s remaining)
[TALLY] Page 785: 15700 delegates fetched (9/sec, rate_retries=0, ~2460s remaining)
[TALLY] Page 790: 15800 delegates fetched (9/sec, rate_retries=0, ~2452s remaining)
[TALLY] Page 795: 15900 delegates fetched (9/sec, rate_retries=0, ~2439s remaining)
[TALLY] Page 800: 16000 delegates fetched (9/sec, rate_retries=0, ~2426s remaining)
[TALLY] Page 805: 16100 delegates fetched (9/sec, rate_retries=0, ~2418s remaining)
[TALLY] Page 810: 16200 delegates fetched (9/sec, rate_retries=0, ~2406s remaining)
[TALLY] Page 815: 16300 delegates fetched (9/sec, rate_retries=0, ~2393s remaining)
[TALLY] Page 820: 16400 delegates fetched (9/sec, rate_retries=0, ~2385s remaining)
[TALLY] Page 825: 16500 delegates fetched (9/sec, rate_retries=0, ~2372s remaining)
[TALLY] Page 830: 16600 delegates fetched (9/sec, rate_retries=0, ~2360s remaining)
[TALLY] Page 835: 16700 delegates fetched (9/sec, rate_retries=0, ~2347s remaining)
[TALLY] Page 840: 16800 delegates fetched (9/sec, rate_retries=0, ~2339s remaining)
[TALLY] Page 845: 16900 delegates fetched (9/sec, rate_retries=0, ~2327s remaining)
[TALLY] Page 850: 17000 delegates fetched (9/sec, rate_retries=0, ~2314s remaining)
[TALLY] Page 855: 17100 delegates fetched (9/sec, rate_retries=0, ~2306s remaining)
[TALLY] Page 860: 17200 delegates fetched (9/sec, rate_retries=0, ~2293s remaining)
[TALLY] Page 865: 17300 delegates fetched (9/sec, rate_retries=0, ~2282s remaining)
[TALLY] Page 870: 17400 delegates fetched (9/sec, rate_retries=0, ~2273s remaining)
[TALLY] Page 875: 17500 delegates fetched (9/sec, rate_retries=0, ~2261s remaining)
[TALLY] Page 880: 17600 delegates fetched (9/sec, rate_retries=0, ~2248s remaining)
[TALLY] Page 885: 17700 delegates fetched (9/sec, rate_retries=0, ~2240s remaining)
[TALLY] Page 890: 17800 delegates fetched (9/sec, rate_retries=0, ~2227s remaining)
[TALLY] Page 895: 17900 delegates fetched (9/sec, rate_retries=0, ~2215s remaining)
[TALLY] Page 900: 18000 delegates fetched (9/sec, rate_retries=0, ~2202s remaining)
[TALLY] Page 905: 18100 delegates fetched (9/sec, rate_retries=0, ~2194s remaining)
[TALLY] Page 910: 18200 delegates fetched (9/sec, rate_retries=0, ~2182s remaining)
[TALLY] Page 915: 18300 delegates fetched (9/sec, rate_retries=0, ~2169s remaining)
[TALLY] Page 920: 18400 delegates fetched (9/sec, rate_retries=0, ~2161s remaining)
[TALLY] Page 925: 18500 delegates fetched (9/sec, rate_retries=0, ~2149s remaining)
[TALLY] Page 930: 18600 delegates fetched (9/sec, rate_retries=0, ~2136s remaining)
[TALLY] Page 935: 18700 delegates fetched (9/sec, rate_retries=0, ~2128s remaining)
[TALLY] Page 940: 18800 delegates fetched (9/sec, rate_retries=0, ~2115s remaining)
[TALLY] Page 945: 18900 delegates fetched (9/sec, rate_retries=0, ~2103s remaining)
[TALLY] Page 950: 19000 delegates fetched (9/sec, rate_retries=0, ~2091s remaining)
[TALLY] Page 955: 19100 delegates fetched (9/sec, rate_retries=0, ~2082s remaining)
[TALLY] Page 960: 19200 delegates fetched (9/sec, rate_retries=0, ~2070s remaining)
[TALLY] Page 965: 19300 delegates fetched (9/sec, rate_retries=0, ~2058s remaining)
[TALLY] Page 970: 19400 delegates fetched (9/sec, rate_retries=0, ~2049s remaining)
[TALLY] Page 975: 19500 delegates fetched (9/sec, rate_retries=0, ~2037s remaining)
[TALLY] Page 980: 19600 delegates fetched (9/sec, rate_retries=0, ~2025s remaining)
[TALLY] Page 985: 19700 delegates fetched (9/sec, rate_retries=0, ~2016s remaining)
[TALLY] Page 990: 19800 delegates fetched (9/sec, rate_retries=0, ~2004s remaining)
[TALLY] Page 995: 19900 delegates fetched (9/sec, rate_retries=0, ~1992s remaining)
[TALLY] Page 1000: 20000 delegates fetched (9/sec, rate_retries=0, ~1980s remaining)
[TALLY] Page 1005: 20100 delegates fetched (9/sec, rate_retries=0, ~1971s remaining)
[TALLY] Page 1010: 20200 delegates fetched (9/sec, rate_retries=0, ~1959s remaining)
[TALLY] Page 1015: 20300 delegates fetched (9/sec, rate_retries=0, ~1947s remaining)
[TALLY] Page 1020: 20400 delegates fetched (9/sec, rate_retries=0, ~1938s remaining)
[TALLY] Page 1025: 20500 delegates fetched (9/sec, rate_retries=0, ~1925s remaining)
[TALLY] Page 1030: 20600 delegates fetched (9/sec, rate_retries=0, ~1913s remaining)
[TALLY] Page 1035: 20700 delegates fetched (9/sec, rate_retries=0, ~1904s remaining)
[TALLY] Page 1040: 20800 delegates fetched (9/sec, rate_retries=0, ~1893s remaining)
[TALLY] Page 1045: 20900 delegates fetched (9/sec, rate_retries=0, ~1881s remaining)
[TALLY] Page 1050: 21000 delegates fetched (9/sec, rate_retries=0, ~1872s remaining)
[TALLY] Page 1055: 21100 delegates fetched (9/sec, rate_retries=0, ~1860s remaining)
[TALLY] Page 1060: 21200 delegates fetched (9/sec, rate_retries=0, ~1848s remaining)
[TALLY] Page 1065: 21300 delegates fetched (9/sec, rate_retries=0, ~1837s remaining)
[TALLY] Page 1070: 21400 delegates fetched (9/sec, rate_retries=0, ~1828s remaining)
[TALLY] Page 1075: 21500 delegates fetched (9/sec, rate_retries=0, ~1816s remaining)
[TALLY] Page 1080: 21600 delegates fetched (9/sec, rate_retries=0, ~1805s remaining)
[TALLY] Page 1085: 21700 delegates fetched (9/sec, rate_retries=0, ~1796s remaining)
[TALLY] Page 1090: 21800 delegates fetched (9/sec, rate_retries=0, ~1784s remaining)
[TALLY] Page 1095: 21900 delegates fetched (9/sec, rate_retries=0, ~1772s remaining)
[TALLY] Page 1100: 22000 delegates fetched (9/sec, rate_retries=0, ~1763s remaining)
[TALLY] Page 1105: 22100 delegates fetched (9/sec, rate_retries=0, ~1752s remaining)
[TALLY] Page 1110: 22200 delegates fetched (9/sec, rate_retries=0, ~1740s remaining)
[TALLY] Page 1115: 22300 delegates fetched (9/sec, rate_retries=0, ~1730s remaining)
[TALLY] Page 1120: 22400 delegates fetched (9/sec, rate_retries=0, ~1719s remaining)
[TALLY] Page 1125: 22500 delegates fetched (9/sec, rate_retries=0, ~1707s remaining)
[TALLY] Page 1130: 22600 delegates fetched (9/sec, rate_retries=0, ~1698s remaining)
[TALLY] Page 1135: 22700 delegates fetched (9/sec, rate_retries=0, ~1686s remaining)
[TALLY] Page 1140: 22800 delegates fetched (9/sec, rate_retries=0, ~1674s remaining)
[TALLY] Page 1145: 22900 delegates fetched (9/sec, rate_retries=0, ~1663s remaining)
[TALLY] Page 1150: 23000 delegates fetched (9/sec, rate_retries=0, ~1653s remaining)
[TALLY] Page 1155: 23100 delegates fetched (9/sec, rate_retries=0, ~1642s remaining)
[TALLY] Page 1160: 23200 delegates fetched (9/sec, rate_retries=0, ~1630s remaining)
[TALLY] Page 1165: 23300 delegates fetched (9/sec, rate_retries=0, ~1620s remaining)
[TALLY] Page 1170: 23400 delegates fetched (9/sec, rate_retries=0, ~1608s remaining)
[TALLY] Page 1175: 23500 delegates fetched (9/sec, rate_retries=0, ~1596s remaining)
[TALLY] Page 1180: 23600 delegates fetched (9/sec, rate_retries=0, ~1587s remaining)
[TALLY] Page 1185: 23700 delegates fetched (9/sec, rate_retries=0, ~1575s remaining)
[TALLY] Page 1190: 23800 delegates fetched (9/sec, rate_retries=0, ~1563s remaining)
[TALLY] Page 1195: 23900 delegates fetched (9/sec, rate_retries=0, ~1552s remaining)
[TALLY] Page 1200: 24000 delegates fetched (9/sec, rate_retries=0, ~1542s remaining)
[TALLY] Page 1205: 24100 delegates fetched (9/sec, rate_retries=0, ~1530s remaining)
[TALLY] Page 1210: 24200 delegates fetched (9/sec, rate_retries=0, ~1519s remaining)
[TALLY] Page 1215: 24300 delegates fetched (9/sec, rate_retries=0, ~1509s remaining)
[TALLY] Page 1220: 24400 delegates fetched (9/sec, rate_retries=0, ~1497s remaining)
[TALLY] Page 1225: 24500 delegates fetched (9/sec, rate_retries=0, ~1486s remaining)
[TALLY] Page 1230: 24600 delegates fetched (9/sec, rate_retries=0, ~1476s remaining)
[TALLY] Page 1235: 24700 delegates fetched (9/sec, rate_retries=0, ~1465s remaining)
[TALLY] Page 1240: 24800 delegates fetched (9/sec, rate_retries=0, ~1453s remaining)
[TALLY] Page 1245: 24900 delegates fetched (9/sec, rate_retries=0, ~1443s remaining)
[TALLY] Page 1250: 25000 delegates fetched (9/sec, rate_retries=0, ~1432s remaining)
[TALLY] Page 1255: 25100 delegates fetched (9/sec, rate_retries=0, ~1420s remaining)
[TALLY] Page 1260: 25200 delegates fetched (9/sec, rate_retries=0, ~1409s remaining)
[TALLY] Page 1265: 25300 delegates fetched (9/sec, rate_retries=0, ~1399s remaining)
[TALLY] Page 1270: 25400 delegates fetched (9/sec, rate_retries=0, ~1387s remaining)
[TALLY] Page 1275: 25500 delegates fetched (9/sec, rate_retries=0, ~1376s remaining)
[TALLY] Page 1280: 25600 delegates fetched (9/sec, rate_retries=0, ~1366s remaining)
[TALLY] Page 1285: 25700 delegates fetched (9/sec, rate_retries=0, ~1354s remaining)
[TALLY] Page 1290: 25800 delegates fetched (9/sec, rate_retries=0, ~1343s remaining)
[TALLY] Page 1295: 25900 delegates fetched (9/sec, rate_retries=0, ~1333s remaining)
[TALLY] Page 1300: 26000 delegates fetched (9/sec, rate_retries=0, ~1321s remaining)
[TALLY] Page 1305: 26100 delegates fetched (9/sec, rate_retries=0, ~1309s remaining)
[TALLY] Page 1310: 26200 delegates fetched (9/sec, rate_retries=0, ~1298s remaining)
[TALLY] Page 1315: 26300 delegates fetched (9/sec, rate_retries=0, ~1288s remaining)
[TALLY] Page 1320: 26400 delegates fetched (9/sec, rate_retries=0, ~1276s remaining)
[TALLY] Page 1325: 26500 delegates fetched (9/sec, rate_retries=0, ~1265s remaining)
[TALLY] Page 1330: 26600 delegates fetched (9/sec, rate_retries=0, ~1255s remaining)
[TALLY] Page 1335: 26700 delegates fetched (9/sec, rate_retries=0, ~1243s remaining)
[TALLY] Page 1340: 26800 delegates fetched (9/sec, rate_retries=0, ~1232s remaining)
[TALLY] Page 1345: 26900 delegates fetched (9/sec, rate_retries=0, ~1222s remaining)
[TALLY] Page 1350: 27000 delegates fetched (9/sec, rate_retries=0, ~1210s remaining)
[TALLY] Page 1355: 27100 delegates fetched (9/sec, rate_retries=0, ~1199s remaining)
[TALLY] Page 1360: 27200 delegates fetched (9/sec, rate_retries=0, ~1189s remaining)
[TALLY] Page 1365: 27300 delegates fetched (9/sec, rate_retries=0, ~1177s remaining)
[TALLY] Page 1370: 27400 delegates fetched (9/sec, rate_retries=0, ~1166s remaining)
[TALLY] Page 1375: 27500 delegates fetched (9/sec, rate_retries=0, ~1155s remaining)
[TALLY] Page 1380: 27600 delegates fetched (9/sec, rate_retries=0, ~1145s remaining)
[TALLY] Page 1385: 27700 delegates fetched (9/sec, rate_retries=0, ~1133s remaining)
[TALLY] Page 1390: 27800 delegates fetched (9/sec, rate_retries=0, ~1122s remaining)
[TALLY] Page 1395: 27900 delegates fetched (9/sec, rate_retries=0, ~1111s remaining)
[TALLY] Page 1400: 28000 delegates fetched (9/sec, rate_retries=0, ~1100s remaining)
[TALLY] Page 1405: 28100 delegates fetched (9/sec, rate_retries=0, ~1089s remaining)
[TALLY] Page 1410: 28200 delegates fetched (9/sec, rate_retries=0, ~1079s remaining)
[TALLY] Page 1415: 28300 delegates fetched (9/sec, rate_retries=0, ~1067s remaining)
[TALLY] Page 1420: 28400 delegates fetched (9/sec, rate_retries=0, ~1056s remaining)
[TALLY] Page 1425: 28500 delegates fetched (9/sec, rate_retries=0, ~1044s remaining)
[TALLY] Page 1430: 28600 delegates fetched (9/sec, rate_retries=0, ~1034s remaining)
[TALLY] Page 1435: 28700 delegates fetched (9/sec, rate_retries=0, ~1023s remaining)
[TALLY] Page 1440: 28800 delegates fetched (9/sec, rate_retries=0, ~1011s remaining)
[TALLY] Page 1445: 28900 delegates fetched (9/sec, rate_retries=0, ~1001s remaining)
[TALLY] Page 1450: 29000 delegates fetched (9/sec, rate_retries=0, ~990s remaining)
[TALLY] Page 1455: 29100 delegates fetched (9/sec, rate_retries=0, ~978s remaining)
[TALLY] Page 1460: 29200 delegates fetched (9/sec, rate_retries=0, ~968s remaining)
[TALLY] Page 1465: 29300 delegates fetched (9/sec, rate_retries=0, ~956s remaining)
[TALLY] Page 1470: 29400 delegates fetched (9/sec, rate_retries=0, ~945s remaining)
[TALLY] Page 1475: 29500 delegates fetched (9/sec, rate_retries=0, ~934s remaining)
[TALLY] Page 1480: 29600 delegates fetched (9/sec, rate_retries=0, ~924s remaining)
[TALLY] Page 1485: 29700 delegates fetched (9/sec, rate_retries=0, ~913s remaining)
[TALLY] Page 1490: 29800 delegates fetched (9/sec, rate_retries=0, ~901s remaining)
[TALLY] Page 1495: 29900 delegates fetched (9/sec, rate_retries=0, ~891s remaining)
[TALLY] Page 1500: 30000 delegates fetched (9/sec, rate_retries=0, ~879s remaining)
[TALLY] Page 1505: 30100 delegates fetched (9/sec, rate_retries=0, ~868s remaining)
